Species,Site,Point,Visit,Year,Distance,Status,Age,RestorationState,Observer,Temp,CloudCover,WindSpeed,PointCattail,JulianDay,TimeAfterSunrise,Area
RWBL,Big Wall Lake,BW1,A,Year1,34,Restored,10,6-11 years,1,16.1,0,7.3,40,5,112,350.1
RWBL,Big Wall Lake,BW1,B,Year1,NA,Restored,10,6-11 years,1,20.7,0,2.6,45,28,181,350.1
RWBL,Big Wall Lake,BW1,A,Year2,57,Restored,11,6-11 years,1,20.2,1,4.1,35,17,-11,350.1
RWBL,Big Wall Lake,BW1,B,Year2,NA,Restored,11,6-11 years,2,23.2,1,2.4,30,40,175,350.1
RWBL,Big Wall Lake,BW2,A,Year1,37,Restored,10,6-11 years,1,15.5,0,4.0,45,5,-19,350.1
RWBL,Big Wall Lake,BW2,A,Year1,9,Restored,10,6-11 years,1,15.5,0,4.0,45,5,-19,350.1
RWBL,Big Wall Lake,BW2,A,Year1,33,Restored,10,6-11 years,1,15.5,0,4.0,45,5,-19,350.1
RWBL,Big Wall Lake,BW2,A,Year1,59,Restored,10,6-11 years,1,15.5,0,4.0,45,5,-19,350.1
RWBL,Big Wall Lake,BW2,B,Year1,32,Restored,10,6-11 years,1,21.2,0,2.6,28,28,310,350.1
RWBL,Big Wall Lake,BW2,B,Year1,54,Restored,10,6-11 years,1,21.2,0,2.6,28,28,310,350.1
RWBL,Big Wall Lake,BW2,B,Year1,43,Restored,10,6-11 years,1,21.2,0,2.6,28,28,310,350.1
RWBL,Big Wall Lake,BW2,B,Year1,20,Restored,10,6-11 years,1,21.2,0,2.6,28,28,310,350.1
RWBL,Big Wall Lake,BW2,A,Year2,111,Restored,11,6-11 years,1,21.5,2,2.7,30,17,298,350.1
RWBL,Big Wall Lake,BW2,A,Year2,34,Restored,11,6-11 years,1,21.5,2,2.7,30,17,298,350.1
RWBL,Big Wall Lake,BW2,A,Year2,17,Restored,11,6-11 years,1,21.5,2,2.7,30,17,298,350.1
RWBL,Big Wall Lake,BW2,B,Year2,80,Restored,11,6-11 years,2,26.6,1,5.5,25,40,383,350.1
