Species,Site,Point,Visit,Year,Distance,Status,Age,RestorationState,Observer,Temp,CloudCover,WindSpeed,PointCattail,CallNum,JulianDay,TimeAfterSunrise,Area
PBGR,Big Wall Lake,BW1,A,Year1,226,Restored,10,6-11 years,1,16.1,0,7.3,40,1,5,112,350.1
PBGR,Big Wall Lake,BW1,A,Year1,59,Restored,10,6-11 years,1,16.1,0,7.3,40,1,5,112,350.1
PBGR,Big Wall Lake,BW1,A,Year1,60,Restored,10,6-11 years,1,16.1,0,7.3,40,1,5,112,350.1
PBGR,Big Wall Lake,BW1,A,Year1,147,Restored,10,6-11 years,1,16.1,0,7.3,40,1,5,112,350.1
PBGR,Big Wall Lake,BW1,B,Year1,106,Restored,10,6-11 years,1,20.7,0,2.6,45,4,28,181,350.1
PBGR,Big Wall Lake,BW1,B,Year1,154,Restored,10,6-11 years,1,20.7,0,2.6,45,4,28,181,350.1
PBGR,Big Wall Lake,BW1,A,Year2,56,Restored,11,6-11 years,1,20.2,1,4.1,35,1,17,-11,350.1
PBGR,Big Wall Lake,BW1,A,Year2,400,Restored,11,6-11 years,1,20.2,1,4.1,35,3,17,-11,350.1
PBGR,Big Wall Lake,BW1,A,Year2,159,Restored,11,6-11 years,1,20.2,1,4.1,35,1,17,-11,350.1
PBGR,Big Wall Lake,BW1,A,Year2,24,Restored,11,6-11 years,1,20.2,1,4.1,35,1,17,-11,350.1
PBGR,Big Wall Lake,BW1,A,Year2,25,Restored,11,6-11 years,1,20.2,1,4.1,35,1,17,-11,350.1
PBGR,Big Wall Lake,BW1,A,Year2,37,Restored,11,6-11 years,1,20.2,1,4.1,35,1,17,-11,350.1
PBGR,Big Wall Lake,BW1,A,Year2,350,Restored,11,6-11 years,1,20.2,1,4.1,35,1,17,-11,350.1
PBGR,Big Wall Lake,BW1,B,Year2,312,Restored,11,6-11 years,2,23.2,1,2.4,30,2,40,175,350.1
PBGR,Big Wall Lake,BW1,B,Year2,221,Restored,11,6-11 years,2,23.2,1,2.4,30,4,40,175,350.1
PBGR,Big Wall Lake,BW1,B,Year2,328,Restored,11,6-11 years,2,23.2,1,2.4,30,1,40,175,350.1
PBGR,Big Wall Lake,BW2,A,Year1,NA,Restored,10,6-11 years,1,15.5,0,4.0,45,NA,5,-19,350.1
PBGR,Big Wall Lake,BW2,B,Year1,NA,Restored,10,6-11 years,1,21.2,0,2.6,28,NA,28,310,350.1
PBGR,Big Wall Lake,BW2,A,Year2,NA,Restored,11,6-11 years,1,21.5,2,2.7,30,NA,17,298,350.1
PBGR,Big Wall Lake,BW2,B,Year2,NA,Restored,11,6-11 years,2,26.6,1,5.5,25,NA,40,383,350.1
PBGR,Big Wall Lake,BW3,A,Year1,41,Restored,10,6-11 years,1,20.7,0,5.0,45,1,5,362,350.1
PBGR,Big Wall Lake,BW3,B,Year1,88,Restored,10,6-11 years,1,16.5,0,0.0,55,1,28,-23,350.1
PBGR,Big Wall Lake,BW3,B,Year1,49,Restored,10,6-11 years,1,16.5,0,0.0,55,2,28,-23,350.1
PBGR,Big Wall Lake,BW3,A,Year2,101,Restored,11,6-11 years,1,22.8,1,3.4,45,1,17,183,350.1
PBGR,Big Wall Lake,BW3,A,Year2,100,Restored,11,6-11 years,1,22.8,1,3.4,45,1,17,183,350.1
PBGR,Big Wall Lake,BW3,A,Year2,250,Restored,11,6-11 years,1,22.8,1,3.4,45,1,17,183,350.1
PBGR,Big Wall Lake,BW3,B,Year2,250,Restored,11,6-11 years,2,23.9,1,0.0,50,2,40,98,350.1
PBGR,Big Wall Lake,BW3,B,Year2,30,Restored,11,6-11 years,2,23.9,1,0.0,50,2,40,98,350.1
PBGR,Big Wall Lake,BW3,B,Year2,300,Restored,11,6-11 years,2,23.9,1,0.0,50,1,40,98,350.1
PBGR,Big Wall Lake,BW3,B,Year2,58,Restored,11,6-11 years,2,23.9,1,0.0,50,2,40,98,350.1
PBGR,Big Wall Lake,BW4,A,Year1,355,Restored,10,6-11 years,1,18.6,0,4.9,45,1,5,184,350.1
PBGR,Big Wall Lake,BW4,A,Year1,16,Restored,10,6-11 years,1,18.6,0,4.9,45,4,5,184,350.1
PBGR,Big Wall Lake,BW4,A,Year1,47,Restored,10,6-11 years,1,18.6,0,4.9,45,3,5,184,350.1
